"","q4.sol.duals","q4.sol.duals.from","q4.sol.duals.to"
"572",28.452411774138,0,29020.5562273277
"573",14.0283049014368,0,29702.9702970297
"574",28.3790166755748,0,29055.6900726392
"575",29.4743142248564,0,29038.112522686
"576",29.7135191262932,0,29073.2889158086
"577",29.3824240277299,0,29108.5506367495
"578",28.0389362813219,0,29197.0802919708
"579",27.3719411827587,0,29232.6431181486
"580",27.8094411827587,0,29232.6431181486
"581",33.23392402773,0,29108.5506367495
"582",35.8057215770116,0,29090.9090909091
"583",32.4280387320403,0,29214.850882532
"584",30.183255887069,0,29339.8533007335
"585",32.4440509856322,0,29304.0293040293
"586",35.1189460841954,0,29268.2926829268
"587",28.7832583377874,0,29357.7981651376
"588",30.058255887069,0,29339.8533007335
"589",18.6712754928161,0,29484.0294840295
"590",26.5395607885058,0,29375.76499388
"591",29.300455887069,0,29339.8533007335
"592",27.8926583377874,0,29357.7981651376
"593",30.7628534363506,0,29321.9303604154
"594",27.9551583377874,0,29357.7981651376
"595",22.1600681406609,0,29429.797670141
"596",26.5161607885058,0,29375.76499388
"597",32.6393509856323,0,29304.0293040293
"598",28.1270583377874,0,29357.7981651376
"599",20.5570705913794,0,29447.8527607362
"600",12.9479828449713,0,29538.4615384615
"601",12.9245828449713,0,29538.4615384615
"602",11.2667852956897,0,29556.6502463054
"603",7.98259019712644,0,29593.0949445129
"604",7.90449019712644,0,29593.0949445129
"605",12.6120828449713,0,29538.4615384615
"606",9.38248774640806,0,29574.8613678373
"607",19.2274730420977,0,29465.9300184162
"608",20.9710705913794,0,29447.8527607362
"609",19.1883730420977,0,29465.9300184162
"610",15.8572779435345,0,29502.1511985249
"611",12.4479828449713,0,29538.4615384615
"612",10.7120852956897,0,29556.6502463054
"613",3.84679509856324,0,29629.6296296296
"614",10.5558852956897,0,29556.6502463054
"615",8.83558774640805,0,29574.8613678373
"616",10.5245852956897,0,29556.6502463054
"617",3.54989509856323,0,29629.6296296296
"618",3.46399509856323,0,29629.6296296296
"619",0,-1e+30,1e+30
"620",8.86688774640806,0,29574.8613678373
